# Nintendo Game Boy-family cartridge label-code catalogue
# Source: Game Boy hardware database by Gekkio and contributors
# Source URL: https://gbhwdb.gekkio.fi/static/export/cartridges.csv
# Retrieved: 2026-08-02
# Source SHA-256: 007ea8d8ac02448764b75eda7057314c952f19b7d0654d473cb3877c8e54e18f
# Changes: selected cartridge label code, ROM ID, game title, normalized release regions, and explicit game-language groups; removed duplicate observations; sorted
# License: CC-BY-SA-4.0; see README.md beside this resource
cartridge_code	rom_id	title	release_regions	game_languages
CGB-BDDE-USA	CGB-BDDE-0	Donkey Kong Country (USA, Europe) (En,Fr,De,Es,It)	US,EUR	en,fr,de,es,it
CGB-BDDJ-JPN	CGB-BDDJ-0	Donkey Kong 2001 (Japan)	JP	
CGB-BDLP-EUR	CGB-BDLP-0	Deadly Skies (Europe) (En,Fr,De)	EUR	en,fr,de
CGB-BDNP-EUR	CGB-BDNP-0	Dinosaur (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
CGB-BDQP-EUR	CGB-BDQP-0	Tiny Toon Adventures - Dizzy's Candy Quest (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
CGB-BDSP-EUR	CGB-BDSP-0	Dinosaur'us (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
CGB-BFUP-EUR	CGB-BFUP-0	Shrek - Fairy Tale Freakdown (USA, Europe) (En,Fr,De,Es,It)	US,EUR	en,fr,de,es,it
CGB-BFVJ-JPN	CGB-BFVJ-1	Monster Traveler (Japan) (Rev 1)	JP	
CGB-BGLJ-JPN	CGB-BGLJ-0	Super Gals! Kotobuki Ran (Japan)	JP	
CGB-BGUJ-JPN	CGB-BGUJ-0	Super Gals! Kotobuki Ran 2 - Miracle Getting (Japan)	JP	
CGB-BH2E-USA	CGB-BH2E-1	Frogger 2 (USA) (Rev 1)	US	
CGB-BH6P-EUR	CGB-BH6P-0	Harry Potter and the Chamber of Secrets (USA, Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,Da)	US,EUR	en,fr,de,es,it,nl,pt,sv,da
CGB-BHFE-USA	CGB-BHFE-0	Mary-Kate and Ashley - Winners Circle (USA, Europe)	US,EUR	
CGB-BHMJ-JPN	CGB-BHMJ-0	Hamster Paradise 2 (Japan)	JP	
CGB-BHTJ-JPN	CGB-BHTJ-1	Tottoko Hamutarou - Tomodachi Daisakusen Dechu (Japan) (Rev 1)	JP	
CGB-BJJE-USA-1	CGB-BJJE-0	Powerpuff Girls, The - Bad Mojo Jojo (USA)	US	
CGB-BJWP-EUR	CGB-BJWP-0	Jimmy White's Cueball (Europe)	EUR	
CGB-BLPP-EUU	CGB-BLPP-0	LEGO Alpha Team (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)	EUR	en,fr,de,es,it,nl,pt,sv,no,da
CGB-BLYP-EUR	CGB-BLYP-0	LEGO Stunt Rally (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv,No,Da)	EUR	en,fr,de,es,it,nl,pt,sv,no,da
CGB-BM5E-USA	CGB-BM5E-0	Mat Hoffman's Pro BMX (USA, Europe)	US,EUR	
CGB-BMVJ-JPN	CGB-BMVJ-0	Net de Get - Minigame @ 100 (Japan)	JP	
CGB-BOMD-NOE	CGB-BOMD-0	Original Moorhuhn Jagd, Die (Germany)	DE	
CGB-BP8P-EUR	CGB-BP8P-0	Pooh and Tigger's Hunny Safari (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
CGB-BPTE-USA	CGB-BPTE-0	Powerpuff Girls, The - Paint the Townsville Green (USA)	US	
CGB-BPVP-EUR	CGB-BPVP-0	MTV Sports - Pure Ride (USA, Europe)	US,EUR	
CGB-BROP-EUR	CGB-BROP-0	Dexter's Laboratory - Robot Rampage (USA, Europe)	US,EUR	
CGB-BT2F-FRA	CGB-BT2F-0	Taxi 2 (France)	FR	
CGB-BT5X-EUU	CGB-BT5X-0	Toy Story Racer (Europe) (En,Fr,De)	EUR	en,fr,de
CGB-BT9P-FRA	CGB-BT9P-0	Tootuff (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
CGB-BT9P-FRA-1	CGB-BT9P-0	Tootuff (Europe) (En,Fr,De,Es,It,Nl)	EUR	en,fr,de,es,it,nl
CGB-BTGP-EUR	CGB-BTGP-0	Tony Hawk's Pro Skater 2 (USA, Europe)	US,EUR	
CGB-BTKP-EUR	CGB-BTKP-0	Batman of the Future - Return of the Joker (Europe) (En,Fr,De)	EUR	en,fr,de
CGB-BWWJ-JPN	CGB-BWWJ-0	Game Boy Wars 3 (Japan)	JP	
CGB-BXIF-FRA	CGB-BXIF-0	Taxi 3 (France)	FR	
CGB-BXTJ-JPN	CGB-BXTJ-0	Pocket Monsters - Crystal Version (Japan)	JP	
CGB-BY3D-NOE	CGB-BY3D-0	Yu-Gi-Oh! - Das Dunkle Duell (Germany)	DE	
CGB-BY3F-FRA-1	CGB-BY3F-0	Yu-Gi-Oh! - Duel des Tenebres (France)	FR	
CGB-BY3J-JPN	CGB-BY3J-0	Yu-Gi-Oh! Duel Monsters III - Tri Holy God Advant (Japan)	JP	
CGB-BY4J-JPN	CGB-BY4J-0	Yu-Gi-Oh! Duel Monsters 4 - Battle of Great Duelist - Yuugi Deck (Japan)	JP	
CGB-BYTD-NOE	CGB-BYTD-0	Pokemon - Kristall-Edition (Germany)	DE	
CGB-BYTE-USA	CGB-BYTE-0	Pokemon - Crystal Version (USA)	US	
CGB-BYTE-USA	CGB-BYTE-1	Pokemon - Crystal Version (USA, Europe) (Rev 1)	US,EUR	
CGB-BYTF-FRA	CGB-BYTF-0	Pokemon - Version Cristal (France)	FR	
CGB-BYTU-AUS	CGB-BYTU-0	Pokemon - Crystal Version (Australia)	AU	
CGB-BZSP-EUR	CGB-BZSP-0	Zidane - Football Generation (Europe) (En,Fr,De,Es,It)	EUR	en,fr,de,es,it
CGB-HF2J-JPN	CGB-HF2J-0	Pocket Family GB 2 (Japan)	JP	
CGB-KCEJ-JPN	CGB-KCEJ-0	Command Master (Japan)	JP	
CGB-KKKJ-JPN	CGB-KKKJ-0	Korokoro Kirby (Japan)	JP	
CGB-KTNE-USA	CGB-KTNE-0	Kirby - Tilt 'n' Tumble (USA)	US	
CGB-VGRJ-JPN	CGB-VGRJ-0	Top Gear Pocket (Japan) (En) (Rumble Version)	JP	en
CGB-VYHE-USA	CGB-VYHE-0	Star Wars Episode I - Racer (USA, Europe) (Rumble Version)	US,EUR	
DIS-CGB-ADME-USA	CGB-ADME-0	Game Boy Color (World) (Demo) (Kiosk)	JP,US,EUR	
DIS-CGB-AW8A-USA	CGB-AW8A-0	Wario Land 3 (World) (En,Ja)	JP,US,EUR	en,ja
DMG-401CHN	DMG-MQE-2	Super Mario Land 2 - 6 Golden Coins (USA, Europe) (Rev 2)	US,EUR	
DMG-A2GJ-JPN	DMG-A2GJ-0	Beatmania GB 2 - Gotcha Mix (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-A2LJ-JPN	DMG-A2LJ-0	Megami Tensei Gaiden - Last Bible II (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-A3GP-EUR	DMG-A3GP-0	PGA Tour 96 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-A3ME-USA	DMG-A3ME-0	Mortal Kombat 3 (USA, Europe)	US,EUR	
DMG-A3MP-EUR	DMG-A3ME-0	Mortal Kombat 3 (USA, Europe)	US,EUR	
DMG-A4KP-EUU	DMG-A4KP-0	Mortal Kombat 4 (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-A4RJ-JPN	DMG-A4RJ-0	Bakukyuu Renpatsu!! Super B-Daman - Gekitan! Rising Valkyrie!! (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-A6-SCN	DMG-A6W-0	Bamse (Sweden)	SE	
DMG-A6SP-EUR	DMG-A6SP-0	FIFA Soccer 96 (USA, Europe) (En,Fr,De,Es) (SGB Enhanced)	US,EUR	en,fr,de,es
DMG-A8SP-EUR	DMG-A8SP-0	FIFA - Road to World Cup 98 (Europe) (SGB Enhanced)	EUR	
DMG-A8WP-EUR	DMG-A8WP-0	World Cup 98 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AAMJ-JPN	DMG-AAMJ-0	Mini Yonku GB Let's & Go!! - All-Star Battle Max (Japan) (SGB Enhanced)	JP	
DMG-AAUD-NOE	DMG-AAUD-0	Pokemon - Goldene Edition (Germany) (SGB Enhanced) (GB Compatible)	DE	
DMG-AAUF-FRA	DMG-AAUF-0	Pokemon - Version Or (France) (SGB Enhanced) (GB Compatible)	FR	
DMG-AAUJ-JPN	DMG-AAUJ-1	Pocket Monsters Kin (Japan) (Rev 1) (SGB Enhanced) (GB Compatible)	JP	
DMG-AAUP-AUS	DMG-AAUP-0	Pokemon - Gold Version (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AAXD-NOE	DMG-AAXD-0	Pokemon - Silberne Edition (Germany) (SGB Enhanced) (GB Compatible)	DE	
DMG-AAXE-USA	DMG-AAXE-0	Pokemon - Silver Version (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AAXF-FRA	DMG-AAXF-0	Pokemon - Version Argent (France) (SGB Enhanced) (GB Compatible)	FR	
DMG-AAXJ-JPN	DMG-AAXJ-0	Pocket Monsters Gin (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AB2E-USA	DMG-AB2E-0	Bomberman GB (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AB6P-EUR	DMG-AB6P-0	Bugs Bunny - Crazy Castle 3 (USA, Europe) (GB Compatible)	US,EUR	
DMG-ABEJ-JPN	DMG-ABEJ-0	Barcode Taisen Bardigun (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-ABEJ-JPN-1	DMG-ABEJ-1	Barcode Taisen Bardigun (Japan) (Rev 1) (SGB Enhanced) (GB Compatible)	JP	
DMG-ABLP-FRA	DMG-ABLP-0	Bugs Bunny & Lola Bunny - Operation Carrot Patch (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)	EUR	en,fr,de,es,it,nl
DMG-ABPJ-JPN	DMG-ABPJ-0	Super Black Bass Pocket (Japan) (SGB Enhanced)	JP	
DMG-ABUP-EUR	DMG-ABUP-0	Bust-A-Move 2 - Arcade Edition (USA, Europe)	US,EUR	
DMG-ACPE-USA	DMG-ACPE-0	Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-ACRP-EUR	DMG-ACRP-0	Conker's Pocket Tales (USA, Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)	US,EUR	en,fr,de
DMG-ACTJ-JPN	DMG-ACTJ-0	Captain Tsubasa J - Zenkoku Seiha e no Chousen (Japan) (SGB Enhanced)	JP	
DMG-ACXJ-JPN	DMG-ACXJ-0	Pokemon Card GB (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AD3E-USA	DMG-AD3E-1	Donkey Kong Land III (USA, Europe) (Rev 1) (SGB Enhanced)	US,EUR	
DMG-AD3P-AUS	DMG-AD3P-1	Donkey Kong Land III (USA, Europe) (Rev 1) (SGB Enhanced)	US,EUR	
DMG-AD3P-EUR	DMG-AD3P-1	Donkey Kong Land III (USA, Europe) (Rev 1) (SGB Enhanced)	US,EUR	
DMG-AD4P-EUR	DMG-AD4P-0	Dropzone (Europe) (GB Compatible)	EUR	
DMG-ADBJ-JPN	DMG-ADBJ-0	Dragon Ball Z - Gokuu Hishouden (Japan) (SGB Enhanced)	JP	
DMG-ADDE-USA-2	DMG-ADDE-0	Donkey Kong Land 2 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-ADDJ-JPN	DMG-ADDJ-0	Donkey Kong Land (Japan) (SGB Enhanced)	JP	
DMG-ADDP-EUR-1	DMG-ADDP-0	Donkey Kong Land 2 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-ADJE-USA	DMG-ADJE-0	Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-ADNP-EUR	DMG-ADNP-0	Castlevania Legends (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-ADQJ-JPN	DMG-ADQJ-0	Dragon Quest Monsters - Terry no Wonderland (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-ADQJ-JPN	DMG-ADQJ-1	Dragon Quest Monsters - Terry no Wonderland (Japan) (Rev 1) (SGB Enhanced) (GB Compatible)	JP	
DMG-ADYD-NOE	DMG-ADYD-0	Barbie - Meeres Abenteuer (Germany) (GB Compatible)	DE	
DMG-ADYP-UKV	DMG-ADYP-0	Barbie - Ocean Discovery (United Kingdom) (GB Compatible)	GB	
DMG-AEDJ-JPN	DMG-AEDJ-0	Dragon Quest I & II (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AEMP-EUR	DMG-AEMP-0	Madden NFL 2000 (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AF-FAH	DMG-AFX-0	Addams Family, The (Europe) (En,Fr,De)	EUR	en,fr,de
DMG-AF-USA	DMG-AFE-0	Addams Family, The (USA)	US	
DMG-AF5P-EUR	DMG-AF5P-0	Konami GB Collection Vol.1 (Europe) (GB Compatible)	EUR	
DMG-AF6P-EUR	DMG-AF6P-0	Konami GB Collection Vol.2 (Europe) (GB Compatible)	EUR	
DMG-AF7P-EUR	DMG-AF7P-0	Konami GB Collection Vol.3 (Europe) (GB Compatible)	EUR	
DMG-AF8P-EUR	DMG-AF8P-0	Konami GB Collection Vol.4 (Europe) (GB Compatible)	EUR	
DMG-AFFJ-JPN	DMG-AFFJ-0	Super Chinese Fighter GB (Japan) (SGB Enhanced)	JP	
DMG-AFGE-USA	DMG-AFGE-0	Frogger (USA)	US	
DMG-AFOP-FRA	DMG-AFOP-0	FIFA 2000 (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AG-NOE	DMG-AGX-0	Pang (Europe)	EUR	
DMG-AG2J-JPN	DMG-AG2J-0	Dai-2-ji Super Robot Taisen G (Japan) (SGB Enhanced)	JP	
DMG-AGAE-USA	DMG-AGAE-1	Game & Watch Gallery (USA) (Rev 1) (SGB Enhanced)	US	
DMG-AGCE-USA	DMG-AGCE-0	Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced)	US	
DMG-AGGA-AUS	DMG-AGGA-0	Game Boy Gallery - 5 Games in 1 (Europe) (SGB Enhanced)	EUR	
DMG-AGGA-GPS	DMG-AGGA-0	Game Boy Gallery - 5 Games in 1 (Europe) (SGB Enhanced)	EUR	
DMG-AGLE-USA	DMG-AGLE-0	Game & Watch Gallery 2 (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AGLE-USA-1	DMG-AGLE-0	Game & Watch Gallery 2 (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AGOP-NOE	DMG-AGOP-0	Hugo (Europe) (SGB Enhanced)	EUR	
DMG-AGQE-USA	DMG-AGQE-0	Game & Watch Gallery 3 (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AGUJ-JPN	DMG-AGUJ-0	Ganbare Goemon - Tengutou no Gyakushuu (Japan) (GB Compatible)	JP	
DMG-AGWJ-JPN	DMG-AGWJ-0	Game Boy Wars Turbo (Japan) (SGB Enhanced)	JP	
DMG-AHHJ-JPN	DMG-AHHJ-0	Trade & Battle Card Hero (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AK2P-EUR	DMG-AK2P-0	Mortal Kombat & Mortal Kombat II (USA, Europe)	US,EUR	
DMG-AKBE-USA	DMG-AKBE-0	Kirby's Dream Land 2 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKBJ-JPN	DMG-AKBJ-0	Hoshi no Kirby 2 (Japan) (SGB Enhanced)	JP	
DMG-AKBP-AUS	DMG-AKBP-0	Kirby's Dream Land 2 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKBP-FAH	DMG-AKBP-0	Kirby's Dream Land 2 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKCE-USA	DMG-AKCE-0	Kirby's Star Stacker (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKGE-USA	DMG-AKGE-0	Ken Griffey Jr. Presents Major League Baseball (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKLE-USA	DMG-AKLE-0	Killer Instinct (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKLP-UKV	DMG-AKLP-0	Killer Instinct (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKMJ-JPN	DMG-AKMJ-0	Kandume Monsters (Japan) (SGB Enhanced)	JP	
DMG-AKXE-USA	DMG-AKXE-0	Kirby's Block Ball (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AKXP-EUR	DMG-AKXP-0	Kirby's Block Ball (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-ALAP-AUS	DMG-ALAP-0	Aladdin (Europe) (SGB Enhanced)	EUR	
DMG-ALLP-FAH	DMG-ALLP-0	Lucky Luke (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
DMG-AM3J-JPN	DMG-AM3J-0	Momotarou Collection 2 (Japan) (SGB Enhanced)	JP	
DMG-AM6J-JPN	DMG-AM6J-0	Daikaijuu Monogatari - The Miracle of the Zone II (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AMCE-USA	DMG-AMCE-0	Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AMDJ-JPN	DMG-AMDJ-0	Momotarou Collection (Japan) (SGB Enhanced)	JP	
DMG-AMLP-EUR-1	DMG-AMLP-0	Mulan (Europe) (SGB Enhanced)	EUR	
DMG-AMOE-USA	DMG-AMOE-0	Mole Mania (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AMOP-EUR	DMG-AMOP-0	Mole Mania (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-ANWJ-JPN	DMG-ANWJ-0	Itsudemo! Nyan to Wonderful (Japan) (SGB Enhanced)	JP	
DMG-AODP-EUR	DMG-AODP-0	Oddworld Adventures (USA, Europe)	US,EUR	
DMG-AOMJ-JPN	DMG-AOMJ-0	Game de Hakken!! Tamagotchi - Osutchi to Mesutchi (Japan) (SGB Enhanced)	JP	
DMG-AORP-FAH	DMG-AORP-0	Ronaldo V-Football (Europe) (En,Fr,De,Es,It,Nl,Pt) (GB Compatible)	EUR	en,fr,de,es,it,nl,pt
DMG-AP-FAH	DMG-APE-0	Kwirk - He's A-maze-ing! (USA, Europe)	US,EUR	
DMG-AP2J-JPN	DMG-AP2J-0	Picross 2 (Japan) (SGB Enhanced)	JP	
DMG-APAE-USA-1	DMG-APAE-0	Pokemon - Red Version (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-APAF-FRA	DMG-APAF-0	Pokemon - Version Rouge (France) (SGB Enhanced)	FR	
DMG-APAJ-JPN	DMG-APAJ-1	Pocket Monsters - Aka (Japan) (Rev 1) (SGB Enhanced)	JP	
DMG-APAU-AUS	DMG-APAU-0	Pokemon - Red Version (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-APBJ-JPN	DMG-APBJ-1	Pocket Monsters - Midori (Japan) (Rev 1) (SGB Enhanced)	JP	
DMG-APCJ-JPN	DMG-APCJ-0	Mario no Picross (Japan) (SGB Enhanced)	JP	
DMG-APCP-NOE	DMG-APCP-0	Mario's Picross (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-APDP-EUR	DMG-APDP-0	Pinball Deluxe (Europe)	EUR	
DMG-APED-NOE	DMG-APED-0	Pokemon - Blaue Edition (Germany) (SGB Enhanced)	DE	
DMG-APEE-USA	DMG-APEE-0	Pokemon - Blue Version (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-APEE-USA-1	DMG-APEE-0	Pokemon - Blue Version (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-APEF-FRA	DMG-APEF-0	Pokemon - Version Bleue (France) (SGB Enhanced)	FR	
DMG-APEJ-JPN	DMG-APEJ-0	Pocket Monsters - Ao (Japan) (SGB Enhanced)	JP	
DMG-APEU-EUR	DMG-APEU-0	Pokemon - Blue Version (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-APME-USA	DMG-APME-0	Pagemaster, The (USA) (SGB Enhanced)	US	
DMG-APOJ-JPN	DMG-APOJ-0	Pocket Bomberman (Japan) (SGB Enhanced)	JP	
DMG-APSD-NOE	DMG-APSD-0	Pokemon - Gelbe Edition - Special Pikachu Edition (Germany) (CGB+SGB Enhanced)	DE	
DMG-APSE-USA-1	DMG-APSE-0	Pokemon - Yellow Version - Special Pikachu Edition (USA, Europe) (CGB+SGB Enhanced)	US,EUR	
DMG-APSF-FRA	DMG-APSF-0	Pokemon - Version Jaune - Edition Speciale Pikachu (France) (CGB+SGB Enhanced)	FR	
DMG-APSJ-JPN	DMG-APSJ-0	Pocket Monsters - Pikachu (Japan) (SGB Enhanced)	JP	
DMG-APSJ-JPN	DMG-APSJ-1	Pocket Monsters - Pikachu (Japan) (Rev 1) (SGB Enhanced)	JP	
DMG-APSJ-JPN	DMG-APSJ-2	Pocket Monsters - Pikachu (Japan) (Rev 2) (SGB Enhanced)	JP	
DMG-APSJ-JPN	DMG-APSJ-3	Pocket Monsters - Pikachu (Japan) (Rev 3) (SGB Enhanced)	JP	
DMG-APXE-USA	DMG-APXE-0	Bug's Life, A (USA) (SGB Enhanced) (GB Compatible)	US	
DMG-APYJ-JPN	DMG-APYJ-0	Pocket Puyo Puyo Tsuu (Japan) (SGB Enhanced)	JP	
DMG-AQCP-EUR	DMG-AQCP-0	Ms. Pac-Man - Special Colour Edition (Europe) (SGB Enhanced) (GB Compatible)	EUR	
DMG-AS2J-JPN	DMG-AS2J-0	From TV Animation Slam Dunk 2 - Zenkoku e no Tip Off (Japan) (SGB Enhanced)	JP	
DMG-ASFE-USA-1	DMG-ASFE-1	Street Fighter II (USA, Europe) (Rev 1) (SGB Enhanced)	US,EUR	
DMG-ASFP-EUR	DMG-ASFP-1	Street Fighter II (USA, Europe) (Rev 1) (SGB Enhanced)	US,EUR	
DMG-ATAJ-JPN	DMG-ATAJ-0	Game de Hakken!! Tamagotchi (Japan) (SGB Enhanced)	JP	
DMG-ATEA-EUR	DMG-ATEA-0	Tetris DX (World) (SGB Enhanced) (GB Compatible)	JP,US,EUR	
DMG-ATEA-EUR-1	DMG-ATEA-0	Tetris DX (World) (SGB Enhanced) (GB Compatible)	JP,US,EUR	
DMG-ATEA-JPN	DMG-ATEA-0	Tetris DX (World) (SGB Enhanced) (GB Compatible)	JP,US,EUR	
DMG-ATEA-USA	DMG-ATEA-0	Tetris DX (World) (SGB Enhanced) (GB Compatible)	JP,US,EUR	
DMG-ATEA-USA-1	DMG-ATEA-0	Tetris DX (World) (SGB Enhanced) (GB Compatible)	JP,US,EUR	
DMG-ATFJ-JPN	DMG-ATFJ-0	Sanrio Timenet - Mirai Hen (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-ATOJ-JPN	DMG-ATOJ-0	Othello World (Japan) (SGB Enhanced)	JP	
DMG-ATRJ-JPN	DMG-ATRJ-0	Tetris Plus (Japan) (SGB Enhanced)	JP	
DMG-AUFP-FAH	DMG-AUFP-0	Smurfs Travel the World, The (Europe) (En,Fr,De,Es)	EUR	en,fr,de,es
DMG-AVBJ-JPN	DMG-AVBJ-0	Pocket Bowling (Japan) (GB Compatible)	JP	
DMG-AVLP-FAH	DMG-AVLP-0	V-Rally - Championship Edition (Europe) (En,Fr,De)	EUR	en,fr,de
DMG-AVSE-USA	DMG-AVSE-0	Vegas Stakes (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AVUE-USA	DMG-AVUE-0	Beauty and the Beast - A Board Game Adventure (USA, Australia) (SGB Enhanced) (GB Compatible)	US,AU	
DMG-AW-USA	DMG-AWA-0	Alleyway (World)	JP,US,EUR	
DMG-AW2E-USA	DMG-AW2E-0	Wario Land II (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AW2J-JPN	DMG-AW2J-0	Wario Land 2 (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AW2P-EUR	DMG-AW2P-0	Wario Land II (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AW3P-FAH	DMG-AW3P-0	Worms (Europe)	EUR	
DMG-AW7E-USA	DMG-AW7E-0	James Bond 007 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AW7E-USA-1	DMG-AW7E-0	James Bond 007 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AW7P-AUS	DMG-AW7P-0	James Bond 007 (USA, Europe) (SGB Enhanced)	US,EUR	
DMG-AWA	DMG-AWA-0	Alleyway (World)	JP,US,EUR	
DMG-AWDJ-JPN	DMG-AWDJ-0	Dino Breeder (Japan) (SGB Enhanced)	JP	
DMG-AWHP-EUR	DMG-AWHP-0	R-Type DX (USA, Europe) (GB Compatible)	US,EUR	
DMG-AWLE-USA	DMG-AWLE-0	Wario Land II (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AWLE-USA-1	DMG-AWLE-0	Wario Land II (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AWLP-EUR	DMG-AWLP-0	Wario Land II (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
DMG-AXFE-USA	DMG-AXFE-0	New Adventures of Mary-Kate & Ashley, The (USA, Europe) (GB Compatible)	US,EUR	
DMG-AXQP-NOE	DMG-AXQP-0	Pokemon Trading Card Game (Europe) (En,Fr,De) (SGB Enhanced) (GB Compatible)	EUR	en,fr,de
DMG-AXQU-AUS	DMG-AXQU-0	Pokemon Trading Card Game (USA, Australia) (SGB Enhanced) (GB Compatible)	US,AU	
DMG-AYJ	DMG-AYJ-0	Ayakashi no Shiro (Japan)	JP	
DMG-AYKJ-JPN	DMG-AYKJ-0	Yu-Gi-Oh! Duel Monsters II - Dark Duel Stories (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AYLE-USA	DMG-AYLE-1	Tetris Attack (USA, Europe) (Rev 1) (SGB Enhanced)	US,EUR	
DMG-AYLJ-JPN	DMG-AYLJ-0	Yoshi no Panepon (Japan) (SGB Enhanced)	JP	
DMG-AYLP-EUR	DMG-AYLP-1	Tetris Attack (USA, Europe) (Rev 1) (SGB Enhanced)	US,EUR	
DMG-AYMJ-JPN	DMG-AYMJ-1	Gakkyuu Ou Yamazaki (Japan) (Rev 1) (GB Compatible)	JP	
DMG-AYNP-FRA	DMG-AYNP-0	Yannick Noah Tennis (France) (En)	FR	en
DMG-AYRP-FRA	DMG-AYRP-0	Sylvester & Tweety - Breakfast on the Run (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)	EUR	en,fr,de,es,it,nl
DMG-AYWJ-JPN	DMG-AYWJ-0	Bokujou Monogatari GB (Japan) (SGB Enhanced)	JP	
DMG-AYWJ-JPN	DMG-AYWJ-1	Bokujou Monogatari GB (Japan) (Rev 1) (SGB Enhanced)	JP	
DMG-AZLF-FRA	DMG-AZLF-0	Legend of Zelda, The - Link's Awakening DX (France) (SGB Enhanced) (GB Compatible)	FR	
DMG-AZLF-FRA	DMG-AZLF-1	Legend of Zelda, The - Link's Awakening DX (France) (Rev 1) (SGB Enhanced) (GB Compatible)	FR	
DMG-AZLJ-JPN	DMG-AZLJ-0	Zelda no Densetsu - Yume o Miru Shima DX (Japan) (SGB Enhanced) (GB Compatible)	JP	
DMG-AZLP-EUR	DMG-AZLP-0	Legend of Zelda, The - Link's Awakening DX (USA, Europe) (SGB Enhanced) (GB Compatible)	US,EUR	
